No	ContigN50	Platform	Pan
3	870	Other_TGS	no
44	871.79	Other_TGS	no
49	872	Other_TGS	no
48	872	Other_TGS	no
16	881	Other_TGS	pan-genome
48	881.2	Other_TGS	no
16	890.84	Other_TGS	no
33	892.045	Other_TGS	no
33	892.045	Other_TGS	no
49	897.2	Other_TGS	no
57	900	Other_TGS	no
48	900	Other_TGS	no
48	904.356	Other_TGS	pan-genome
21	905	Other_TGS	pan-genome
18	906	HiFi	no
48	907	Other_TGS	no
31	908	Other_TGS	no
31	908	Other_TGS	no
48	908.731	Other_TGS	pan-genome
33	910	Other_TGS	no
16	919	Other_TGS	pan-genome
50	924	HiFi	no
48	927.918	Other_TGS	pan-genome
48	930	Other_TGS	no
48	930	Other_TGS	no
48	933	Other_TGS	pan-genome
29	944	Other_TGS	no
48	945.326	Other_TGS	pan-genome
33	945.8	Other_TGS	no
48	946	Other_TGS	no
48	946.9	Other_TGS	no
24	951	Other_TGS	no
32	953.445	Other_TGS	no
48	955	Other_TGS	no
37	960	Other_TGS	pan-genome
37	960	Other_TGS	pan-genome
56	961.575	Other_TGS	no
48	962.624	Other_TGS	pan-genome
71	964.7	Other_TGS	no
48	966.9	Other_TGS	no
48	968.617	Other_TGS	pan-genome
48	983	NGS	pan-genome
48	984.17	Other_TGS	pan-genome
27	986	Other_TGS	no
31	990	Other_TGS	no
48	1000	Other_TGS	no
22	1000	Other_TGS	no
9	1000	Other_TGS	no
48	1000.431	Other_TGS	pan-genome
48	1001	Other_TGS	no
16	1002	Other_TGS	no
48	1002.755	Other_TGS	pan-genome
48	1005.708	Other_TGS	pan-genome
48	1005.753	Other_TGS	pan-genome
80	1010	Other_TGS	no
48	1010	Other_TGS	no
33	1010	Other_TGS	no
27	1010	Other_TGS	no
31	1020	Other_TGS	no
48	1023	Other_TGS	no
48	1025.36	Other_TGS	pan-genome
48	1031.05	Other_TGS	pan-genome
21	1037	Other_TGS	pan-genome
48	1050	Other_TGS	no
21	1053.466	Other_TGS	no
48	1056.626	Other_TGS	pan-genome
37	1060	Other_TGS	pan-genome
37	1060	Other_TGS	pan-genome
48	1062	NGS	pan-genome
21	1063	Other_TGS	pan-genome
48	1064	NGS	pan-genome
43	1068.931	Other_TGS	no
48	1071	Other_TGS	no
48	1072	NGS	pan-genome
55	1080	Other_TGS	no
29	1080	Other_TGS	no
48	1084	NGS	pan-genome
37	1090	Other_TGS	pan-genome
37	1090	Other_TGS	pan-genome
48	1091	NGS	pan-genome
48	1091.812	Other_TGS	pan-genome
48	1092	NGS	pan-genome
48	1095	Other_TGS	no
48	1096	NGS	pan-genome
50	1100	Other_TGS	no
48	1100	Other_TGS	pan-genome
48	1100	Other_TGS	no
48	1100	Other_TGS	no
48	1100	Other_TGS	no
30	1100	HiFi	no
22	1100	Other_TGS	no
12	1100	Other_TGS	no
1	1100.000 	Other_TGS	no
53	1110	Other_TGS	no
48	1110	Other_TGS	no
50	1114	Other_TGS	no
18	1114	Other_TGS	no
16	1116	Other_TGS	pan-genome
29	1118.783	Other_TGS	no
48	1120	Other_TGS	pan-genome
3	1120	Other_TGS	no
48	1135.434	Other_TGS	pan-genome
48	1137	NGS	pan-genome
37	1140	Other_TGS	pan-genome
37	1140	Other_TGS	pan-genome
48	1142.346	Other_TGS	pan-genome
48	1143.165	Other_TGS	pan-genome
38	1145.029	HiFi	no
48	1145.105	Other_TGS	pan-genome
31	1151	Other_TGS	no
33	1154	NGS	no
48	1161.553	Other_TGS	pan-genome
16	1170	Other_TGS	no
48	1171	NGS	pan-genome
21	1176	Other_TGS	no
12	1180	Other_TGS	no
48	1182	NGS	pan-genome
43	1182	Other_TGS	no
48	1189.615	Other_TGS	no
48	1198	Other_TGS	pan-genome
55	1200	Other_TGS	no
48	1200	Other_TGS	no
29	1200	Other_TGS	no
21	1200	Other_TGS	no
16	1200	Other_TGS	no
38	1201.036	Other_TGS	no
48	1207	NGS	pan-genome
48	1209	Other_TGS	no
87	1210	Other_TGS	no
50	1210	Other_TGS	no
48	1210	NGS	pan-genome
87	1210.495	Other_TGS	no
48	1211	NGS	pan-genome
48	1215	NGS	pan-genome
48	1218	NGS	pan-genome
20	1218.69	Other_TGS	no
48	1220	Other_TGS	no
31	1220	Other_TGS	no
12	1220	Other_TGS	no
3	1220	Other_TGS	no
48	1223	Other_TGS	no
48	1224	NGS	pan-genome
48	1228	NGS	pan-genome
44	1230	Other_TGS	no
22	1230	Other_TGS	no
21	1230	Other_TGS	no
16	1241	Other_TGS	no
48	1243	NGS	pan-genome
48	1249	NGS	pan-genome
31	1250	Other_TGS	no
18	1250	Other_TGS	no
16	1250	Other_TGS	pan-genome
48	1254	NGS	pan-genome
48	1254	NGS	pan-genome
12	1256.975	Other_TGS	no
48	1261	NGS	pan-genome
48	1265.489	Other_TGS	pan-genome
32	1270	Other_TGS	no
32	1270	Other_TGS	no
21	1273	Other_TGS	pan-genome
48	1276	NGS	pan-genome
31	1280	Other_TGS	no
6	1280	Other_TGS	no
31	1280.2	Other_TGS	no
48	1281	NGS	pan-genome
48	1286.174	Other_TGS	pan-genome
18	1287	Other_TGS	no
31	1290	Other_TGS	no
27	1290	Other_TGS	no
48	1296	NGS	pan-genome
33	1300	Other_TGS	no
31	1300	Other_TGS	no
30	1300	Other_TGS	no
48	1307	NGS	pan-genome
48	1307	NGS	pan-genome
48	1314.218	Other_TGS	no
48	1327.071	Other_TGS	pan-genome
21	1330	Other_TGS	no
13	1330	Other_TGS	no
32	1331	Other_TGS	no
48	1334	NGS	pan-genome
48	1334	NGS	pan-genome
48	1334.32	Other_TGS	pan-genome
43	1337.422	Other_TGS	no
31	1340	Other_TGS	no
21	1340	Other_TGS	pan-genome
21	1340	Other_TGS	no
16	1340	Other_TGS	pan-genome
48	1340.714	Other_TGS	pan-genome
48	1342	NGS	pan-genome
29	1345.847	Other_TGS	no
6	1352	Other_TGS	no
17	1354	Other_TGS	no
87	1357	Other_TGS	no
48	1366.915	Other_TGS	pan-genome
31	1369	Other_TGS	no
69	1370	Other_TGS	no
50	1370	Other_TGS	no
31	1370	Other_TGS	no
12	1370	Other_TGS	no
48	1376	NGS	pan-genome
48	1381.757	Other_TGS	pan-genome
29	1390	Other_TGS	no
6	1391.023	Other_TGS	no
32	1397.088	Other_TGS	no
59	1400	Other_TGS	no
48	1400	Other_TGS	no
29	1400	Other_TGS	no
16	1400	Other_TGS	no
48	1401	NGS	pan-genome
48	1403.415	Other_TGS	no
87	1406	Other_TGS	no
48	1409	NGS	pan-genome
33	1410	Other_TGS	no
32	1410	Other_TGS	pan-genome
48	1410.462	Other_TGS	pan-genome
21	1413	Other_TGS	pan-genome
33	1414	NGS	no
33	1420	Other_TGS	no
48	1427.028	Other_TGS	pan-genome
57	1430	Other_TGS	no
33	1430	Other_TGS	no
48	1435.52	Other_TGS	pan-genome
29	1437.063	Other_TGS	no
21	1438	Other_TGS	no
50	1440	Other_TGS	no
21	1450	Other_TGS	no
3	1450	Other_TGS	no
7	1460	Other_TGS	no
17	1470	Other_TGS	no
48	1478	NGS	pan-genome
66	1480	Other_TGS	no
48	1480	Other_TGS	no
21	1480	Other_TGS	no
48	1490	NGS	pan-genome
33	1494	Other_TGS	no
48	1499.851	Other_TGS	pan-genome
48	1500	NGS	no
48	1500	Other_TGS	no
48	1500	Other_TGS	no
32	1500	Other_TGS	no
32	1500	Other_TGS	no
24	1500	Other_TGS	no
21	1500	Other_TGS	no
16	1500	Other_TGS	no
9	1500	Other_TGS	no
87	1507	Other_TGS	no
32	1510	Other_TGS	no
48	1521.169	Other_TGS	no
48	1524.72	Other_TGS	no
29	1530	Other_TGS	no
48	1531	NGS	pan-genome
48	1534.402	Other_TGS	pan-genome
50	1540	Other_TGS	no
48	1540.748	Other_TGS	pan-genome
48	1544	NGS	pan-genome
48	1545	NGS	pan-genome
48	1545	NGS	pan-genome
58	1550	Other_TGS	no
48	1550	Other_TGS	no
32	1550	Other_TGS	pan-genome
48	1555	NGS	pan-genome
48	1560	Other_TGS	no
45	1560	Other_TGS	no
31	1560	Other_TGS	no
48	1567.04	Other_TGS	pan-genome
50	1570	Other_TGS	no
48	1570	Other_TGS	no
44	1570	Other_TGS	no
31	1570	Other_TGS	no
22	1570	Other_TGS	no
1	1578	Other_TGS	no
87	1578.6	Other_TGS	no
87	1580	Other_TGS	no
67	1580	Other_TGS	no
44	1580	Other_TGS	no
48	1585.103	Other_TGS	pan-genome
48	1590	Other_TGS	no
12	1590	Other_TGS	no
43	1598.608	Other_TGS	no
37	1600	Other_TGS	no
32	1600	HiFi	no
29	1600	Other_TGS	no
24	1600	Other_TGS	pan-genome
24	1600	Other_TGS	pan-genome
21	1600	Other_TGS	no
48	1600.189	Other_TGS	pan-genome
48	1607.251	Other_TGS	pan-genome
33	1610	Other_TGS	no
32	1610	Other_TGS	no
50	1618	Other_TGS	no
48	1621	NGS	pan-genome
33	1630	Other_TGS	no
31	1637	Other_TGS	no
87	1639	Other_TGS	no
21	1640	Other_TGS	no
87	1642	HiFi	no
48	1643	NGS	pan-genome
22	1645	Other_TGS	no
50	1650	HiFi	no
10	1650	Other_TGS	no
50	1660	HiFi	no
18	1663.34	Other_TGS	no
48	1665	Other_TGS	no
48	1675.777	Other_TGS	pan-genome
48	1680	NGS	pan-genome
6	1680	Other_TGS	no
6	1680	Other_TGS	no
48	1686	NGS	pan-genome
48	1686.039	Other_TGS	pan-genome
16	1688	Other_TGS	pan-genome
18	1689	Other_TGS	no
48	1692	NGS	pan-genome
85	1700	Other_TGS	no
37	1700	Other_TGS	no
31	1700	Other_TGS	no
30	1700	Other_TGS	pan-genome
18	1700	Other_TGS	no
16	1706	Other_TGS	pan-genome
21	1708	No_info	no
24	1708.37 	Other_TGS	no
48	1710	Other_TGS	no
48	1710	Other_TGS	no
32	1710	Other_TGS	no
30	1710	Other_TGS	no
48	1719	Other_TGS	no
48	1728	Other_TGS	no
48	1730	Other_TGS	no
48	1730	Other_TGS	no
27	1730	Other_TGS	no
44	1740	No_info	no
32	1740	Other_TGS	pan-genome
31	1740	Other_TGS	no
10	1740	HiFi	no
31	1750	Other_TGS	no
48	1755.025	Other_TGS	pan-genome
32	1760	Other_TGS	no
50	1770	Other_TGS	no
44	1770	Other_TGS	no
48	1771.065	Other_TGS	no
48	1780	Other_TGS	no
31	1780	Other_TGS	no
12	1780	Other_TGS	no
48	1782.031	Other_TGS	pan-genome
85	1800	Other_TGS	pan-genome
31	1800	Other_TGS	no
22	1800	Other_TGS	no
22	1800	Other_TGS	no
18	1800	Other_TGS	no
12	1800	Other_TGS	no
48	1807	NGS	pan-genome
29	1810	HiFi	no
21	1810	Other_TGS	no
48	1820	Other_TGS	no
48	1825	Other_TGS	no
48	1826.916	Other_TGS	pan-genome
46	1830	Other_TGS	no
22	1832	Other_TGS	no
21	1835	No_info	pan-genome
21	1846	No_info	pan-genome
32	1851.115	HiFi	no
48	1855	Other_TGS	no
48	1860	Other_TGS	no
27	1865.005	Other_TGS	no
87	1867	Other_TGS	no
48	1867	Other_TGS	no
48	1870	Other_TGS	no
16	1870	Other_TGS	no
10	1870	Other_TGS	no
6	1870	Other_TGS	no
10	1872.399	No_info	pan-genome
32	1880	Other_TGS	pan-genome
12	1880	Other_TGS	no
21	1890	Other_TGS	pan-genome
48	1900	Other_TGS	no
48	1900	Other_TGS	no
31	1900	Other_TGS	no
29	1900	Other_TGS	no
24	1900	Other_TGS	pan-genome
12	1900	Other_TGS	no
10	1900	Other_TGS	no
9	1900	Other_TGS	no
87	1908	Other_TGS	no
22	1915	Other_TGS	no
16	1921.46	HiFi	no
32	1924.460 	Other_TGS	no
21	1926	Other_TGS	no
29	1928	Other_TGS	no
48	1938	Other_TGS	no
33	1940	Other_TGS	no
30	1940	Other_TGS	pan-genome
16	1940	Other_TGS	no
12	1942	Other_TGS	no
48	1944	Other_TGS	no
9	1950	Other_TGS	no
48	1952	NGS	pan-genome
48	1954	NGS	pan-genome
48	1957	Other_TGS	no
31	1959	Other_TGS	no
21	1960	HiFi	no
37	1969	Other_TGS	no
27	1980	Other_TGS	no
48	1982	NGS	pan-genome
31	1989	Other_TGS	no
42	1990	Other_TGS	no
33	1990	Other_TGS	no
27	1990	Other_TGS	no
48	1998	NGS	pan-genome
48	2000	Other_TGS	no
16	2000	Other_TGS	no
87	2001	Other_TGS	no
10	2002	Other_TGS	pan-genome
48	2003.1	Other_TGS	pan-genome
58	2010	HiFi	no
27	2018	Other_TGS	no
31	2020	Other_TGS	no
48	2021	NGS	pan-genome
33	2039.164	Other_TGS	no
48	2040	NGS	pan-genome
21	2044	No_info	pan-genome
87	2057.586	Other_TGS	no
48	2061.299	Other_TGS	pan-genome
48	2065.169	Other_TGS	pan-genome
29	2070	Other_TGS	no
29	2070	Other_TGS	no
48	2074	Other_TGS	pan-genome
10	2079	Other_TGS	pan-genome
48	2081.642	Other_TGS	pan-genome
50	2090	Other_TGS	no
31	2090	Other_TGS	no
48	2093	Other_TGS	no
63	2100	Other_TGS	no
46	2100	Other_TGS	no
32	2100	Other_TGS	no
30	2100	Other_TGS	pan-genome
30	2100	Other_TGS	pan-genome
30	2100	Other_TGS	pan-genome
22	2100	Other_TGS	no
22	2100	Other_TGS	no
12	2100	Other_TGS	no
12	2100	Other_TGS	no
10	2100	HiFi	no
1	2100	Other_TGS	no
21	2110	Other_TGS	no
82	2139.932	HiFi	no
31	2140	Other_TGS	no
31	2144	Other_TGS	no
37	2149.6	Other_TGS	no
48	2150	Other_TGS	no
31	2150	Other_TGS	no
48	2150.881	Other_TGS	pan-genome
49	2168	Other_TGS	no
29	2170	Other_TGS	no
16	2180	Other_TGS	no
58	2190	Other_TGS	no
57	2190	Other_TGS	no
10	2190	HiFi	no
48	2200	Other_TGS	no
44	2200	Other_TGS	no
32	2200	Other_TGS	pan-genome
24	2200	Other_TGS	no
16	2200	Other_TGS	no
12	2200	Other_TGS	no
48	2210	Other_TGS	no
24	2210	Other_TGS	no
22	2220	Other_TGS	no
29	2232.746	Other_TGS	no
16	2237	Other_TGS	pan-genome
48	2240	Other_TGS	no
46	2240	Other_TGS	no
31	2248	Other_TGS	no
48	2253.426	Other_TGS	pan-genome
18	2260	Other_TGS	no
48	2262.291	Other_TGS	pan-genome
31	2267	Other_TGS	no
12	2267	Other_TGS	no
48	2269	NGS	pan-genome
48	2279.008	Other_TGS	pan-genome
48	2281.751	Other_TGS	no
48	2292	NGS	pan-genome
69	2300	Other_TGS	no
57	2300	Other_TGS	no
33	2300	Other_TGS	no
31	2300	Other_TGS	no
30	2300	Other_TGS	no
27	2300	Other_TGS	no
22	2300	Other_TGS	no
18	2300	Other_TGS	no
48	2304	NGS	pan-genome
37	2311.912	Other_TGS	pan-genome
48	2312	NGS	pan-genome
33	2317.531	HiFi	no
31	2320	HiFi	pan-genome
31	2330	Other_TGS	no
21	2360	Other_TGS	no
12	2360	Other_TGS	no
10	2369	HiFi	no
48	2391.905	Other_TGS	pan-genome
48	2400	Other_TGS	no
31	2400	NGS	no
27	2400	Other_TGS	no
58	2410	HiFi	no
30	2430	Other_TGS	no
65	2440	HiFi	no
16	2440	Other_TGS	no
46	2450	Other_TGS	no
33	2450	Other_TGS	no
29	2450	Other_TGS	no
33	2458	Other_TGS	no
48	2489.357	Other_TGS	pan-genome
10	2490.98	HiFi	pan-genome
27	2492	Other_TGS	no
16	2500	Other_TGS	no
12	2500	Other_TGS	no
12	2500	Other_TGS	no
10	2513	Other_TGS	pan-genome
44	2521.02	Other_TGS	no
37	2526.427	Other_TGS	no
18	2540	Other_TGS	no
16	2540	Other_TGS	no
16	2540	Other_TGS	no
24	2549	Other_TGS	no
27	2549.117	Other_TGS	no
48	2550	Other_TGS	no
48	2550	Other_TGS	no
27	2550	Other_TGS	no
48	2570	Other_TGS	no
48	2583	Other_TGS	no
87	2592.956	Other_TGS	no
31	2600	Other_TGS	no
27	2600	Other_TGS	no
27	2600	Other_TGS	no
24	2600	Other_TGS	pan-genome
65	2601	Other_TGS	no
32	2601.763	Other_TGS	no
33	2620	Other_TGS	no
33	2620	Other_TGS	no
48	2628.15	Other_TGS	pan-genome
59	2630	Other_TGS	no
29	2640	Other_TGS	no
87	2650	Other_TGS	no
48	2650	Other_TGS	no
33	2654.245	Other_TGS	no
48	2664.823	Other_TGS	pan-genome
32	2700	HiFi	no
31	2700	Other_TGS	no
12	2700	Other_TGS	no
18	2701	Other_TGS	no
31	2710	Other_TGS	no
22	2730	Other_TGS	no
48	2734	NGS	pan-genome
31	2750	Other_TGS	no
33	2751.606	Other_TGS	no
48	2754.563	Other_TGS	pan-genome
48	2759	NGS	pan-genome
32	2760	Other_TGS	no
31	2770	HiFi	no
3	2773.521	Other_TGS	no
48	2779.251	Other_TGS	pan-genome
21	2799	No_info	pan-genome
32	2800	Other_TGS	no
32	2800	Other_TGS	no
22	2800	Other_TGS	no
21	2820	Other_TGS	no
65	2823	HiFi	no
29	2830	Other_TGS	no
21	2830	Other_TGS	no
18	2843.262	Other_TGS	no
31	2850	Other_TGS	no
21	2850	No_info	pan-genome
48	2852	Other_TGS	no
30	2860	Other_TGS	no
24	2880	HiFi	no
3	2880	Other_TGS	no
65	2890	Other_TGS	no
29	2890	Other_TGS	no
48	2900	Other_TGS	no
30	2900	Other_TGS	no
31	2907	Other_TGS	no
31	2907	Other_TGS	no
37	2910	Other_TGS	no
9	2910	Other_TGS	no
87	2920	Other_TGS	no
32	2920	Other_TGS	pan-genome
16	2920	Other_TGS	no
49	2927	Other_TGS	no
48	2928.216	Other_TGS	pan-genome
21	2933	No_info	pan-genome
48	2970	Other_TGS	no
48	3000	Other_TGS	no
27	3000	Other_TGS	no
22	3000	Other_TGS	no
12	3000	Other_TGS	no
48	3012.307	Other_TGS	no
10	3030	Other_TGS	no
48	3037	NGS	pan-genome
21	3050	Other_TGS	no
12	3050	Other_TGS	no
48	3050.019	Other_TGS	pan-genome
18	3076	HiFi	no
31	3080	Other_TGS	no
48	3100	Other_TGS	no
48	3100	HiFi	pan-genome
48	3100	HiFi	pan-genome
33	3100	Other_TGS	no
21	3100	Other_TGS	no
48	3144	NGS	pan-genome
31	3160	Other_TGS	no
48	3167.246	Other_TGS	no
48	3184.049	Other_TGS	pan-genome
48	3190	Other_TGS	no
27	3190	Other_TGS	no
54	3200	Other_TGS	no
31	3200	Other_TGS	no
31	3200	Other_TGS	pan-genome
24	3200	Other_TGS	no
10	3200	Other_TGS	no
12	3211	Other_TGS	no
27	3230	Other_TGS	no
31	3250	Other_TGS	no
31	3254	Other_TGS	no
83	3255	HiFi	no
12	3273.935	Other_TGS	no
48	3275.657	Other_TGS	pan-genome
48	3284	Other_TGS	no
24	3287.09 	Other_TGS	no
32	3300	Other_TGS	no
29	3300	Other_TGS	no
29	3300	HiFi	no
24	3310	Other_TGS	no
31	3315	Other_TGS	no
55	3340	Other_TGS	no
31	3340	Other_TGS	no
31	3350	Other_TGS	no
48	3365.383	Other_TGS	pan-genome
29	3390	Other_TGS	no
31	3400	Other_TGS	no
21	3400	Other_TGS	no
12	3420	Other_TGS	no
27	3430	Other_TGS	no
48	3432.029	Other_TGS	pan-genome
30	3450	Other_TGS	no
48	3450.594	Other_TGS	pan-genome
48	3451	Other_TGS	no
48	3451.742	Other_TGS	no
31	3456	Other_TGS	no
48	3457.295	Other_TGS	pan-genome
32	3460	Other_TGS	no
18	3465.82	Ultra-long_ONT	no
46	3475.476	Other_TGS	no
48	3479.156	Other_TGS	pan-genome
31	3480	HiFi	pan-genome
31	3500	Other_TGS	no
29	3500	Other_TGS	no
24	3500	Other_TGS	no
22	3500	Other_TGS	no
33	3510	Other_TGS	no
24	3522.28 	No_info	no
48	3525	Other_TGS	no
48	3525.661	Other_TGS	no
48	3545.304	Other_TGS	pan-genome
31	3559.988	Other_TGS	no
48	3562.016	Other_TGS	pan-genome
48	3586.528	Other_TGS	pan-genome
24	3600	Other_TGS	pan-genome
12	3600	Other_TGS	no
10	3600	HiFi	no
17	3620	Other_TGS	no
46	3620.908	Other_TGS	no
20	3630	HiFi	no
10	3630	Other_TGS	no
21	3639.159	Other_TGS	no
21	3648.614	Other_TGS	no
29	3650	Other_TGS	no
48	3672	NGS	pan-genome
10	3691	Other_TGS	pan-genome
29	3700	Other_TGS	no
12	3726.467	Other_TGS	no
24	3750	Other_TGS	no
48	3763.886	Other_TGS	pan-genome
32	3770	Other_TGS	no
12	3770	Other_TGS	no
20	3797.897	Other_TGS	no
48	3800	HiFi	pan-genome
30	3800	Other_TGS	pan-genome
12	3800	Other_TGS	no
10	3800	HiFi	no
10	3800	HiFi	no
24	3801.6	Other_TGS	no
27	3818.138	Other_TGS	no
24	3820	Other_TGS	no
48	3836.213	Other_TGS	pan-genome
12	3851.190 	Other_TGS	no
32	3860	Other_TGS	no
31	3865	Other_TGS	no
6	3868.525	HiFi	no
10	3887	HiFi	no
31	3900	Other_TGS	no
30	3900	Other_TGS	pan-genome
37	3910	Other_TGS	no
32	3920	Other_TGS	no
12	3956	Other_TGS	no
48	3963	Other_TGS	no
31	3980	Other_TGS	no
32	4000	Other_TGS	pan-genome
31	4000	Other_TGS	no
27	4000	Other_TGS	no
24	4000	Other_TGS	pan-genome
48	4001.362	Other_TGS	pan-genome
27	4010	NGS	no
9	4019	Other_TGS	no
48	4020	Other_TGS	no
32	4030	Other_TGS	no
22	4050	Other_TGS	no
21	4070	Other_TGS	pan-genome
44	4080	Other_TGS	no
22	4100	Other_TGS	no
22	4100	Other_TGS	no
48	4102.569	Other_TGS	pan-genome
12	4110	Other_TGS	no
31	4130	Other_TGS	no
22	4130	Other_TGS	no
48	4158.31	Other_TGS	pan-genome
32	4180	Other_TGS	no
21	4180	Other_TGS	no
48	4200	HiFi	pan-genome
32	4200	Other_TGS	pan-genome
24	4200	Other_TGS	pan-genome
29	4210	Other_TGS	no
9	4213	Other_TGS	no
27	4250	Other_TGS	no
48	4270	Other_TGS	no
32	4270	Other_TGS	pan-genome
31	4290	Other_TGS	no
30	4290	Other_TGS	pan-genome
48	4300	HiFi	no
30	4300	Other_TGS	pan-genome
30	4300	Other_TGS	pan-genome
29	4306.997	Other_TGS	no
48	4310.367	Other_TGS	no
12	4330	Other_TGS	no
32	4340	Other_TGS	no
29	4340	Other_TGS	no
34	4360	Other_TGS	no
21	4364	No_info	pan-genome
21	4370	Other_TGS	no
48	4379.123	Other_TGS	pan-genome
30	4400	Other_TGS	pan-genome
29	4400	Other_TGS	no
29	4400	Other_TGS	no
48	4480	Other_TGS	no
24	4480	Other_TGS	no
27	4490	Other_TGS	no
17	4490.562	Other_TGS	no
54	4500	Other_TGS	no
54	4500	Other_TGS	no
48	4527.364	Other_TGS	pan-genome
31	4545	Other_TGS	no
32	4550	Other_TGS	no
61	4590	Other_TGS	no
22	4620	Other_TGS	no
32	4650	Other_TGS	pan-genome
46	4680	Other_TGS	no
27	4690	Other_TGS	no
32	4700	Other_TGS	pan-genome
30	4700	Other_TGS	pan-genome
21	4700	Other_TGS	no
63	4750	Other_TGS	no
12	4750	Other_TGS	no
27	4770	Other_TGS	no
46	4800	Other_TGS	no
10	4800	Other_TGS	no
48	4827.243	Other_TGS	pan-genome
10	4870	Other_TGS	no
46	4900	Other_TGS	no
32	4900	Other_TGS	pan-genome
30	4900	Other_TGS	pan-genome
20	4900	Other_TGS	no
9	4900	Other_TGS	no
48	4931	Other_TGS	no
58	4940.68	HiFi	no
48	4949.165	Other_TGS	pan-genome
6	4950.584	Other_TGS	no
21	4970	Other_TGS	no
48	5000	NGS	pan-genome
30	5000	Other_TGS	no
48	5005.344	Other_TGS	pan-genome
31	5020	Other_TGS	no
22	5020	Other_TGS	no
30	5050	Other_TGS	no
48	5090	Other_TGS	no
48	5100	HiFi	pan-genome
43	5100	Other_TGS	no
31	5100	NGS	no
21	5100	Other_TGS	pan-genome
48	5110.836	Other_TGS	pan-genome
7	5124	Other_TGS	no
12	5140	Other_TGS	no
48	5150	HiFi	pan-genome
48	5157	Other_TGS	no
6	5160	Other_TGS	no
48	5164.577	HiFi	pan-genome
31	5170	Other_TGS	no
32	5200	NGS	no
24	5200	Other_TGS	pan-genome
18	5200	Other_TGS	no
48	5214.072	Other_TGS	pan-genome
27	5220	Other_TGS	no
27	5221.823	Other_TGS	no
48	5239.854	Other_TGS	pan-genome
48	5255.421	Other_TGS	pan-genome
27	5260	Other_TGS	no
24	5260	Other_TGS	no
10	5260	Other_TGS	no
46	5280	Other_TGS	no
16	5280	HiFi	no
44	5290	Other_TGS	no
48	5300	Other_TGS	pan-genome
30	5300	Other_TGS	pan-genome
24	5300	Other_TGS	pan-genome
10	5300	Other_TGS	no
22	5326	Other_TGS	no
29	5391.619	Other_TGS	no
48	5400	HiFi	pan-genome
48	5400	Other_TGS	no
10	5400	Other_TGS	no
30	5450	Other_TGS	pan-genome
10	5461.159	HiFi	pan-genome
33	5470	Other_TGS	no
48	5486	Other_TGS	no
48	5497.663	Other_TGS	pan-genome
48	5500	Other_TGS	no
32	5500	Other_TGS	no
32	5500	Other_TGS	no
24	5500	Other_TGS	no
22	5500	Other_TGS	no
21	5508	HiFi	no
21	5520	Other_TGS	no
48	5539.071	Other_TGS	pan-genome
48	5545.478	Other_TGS	pan-genome
48	5554.398	HiFi	pan-genome
31	5600	Other_TGS	no
48	5606.236	Other_TGS	pan-genome
48	5637	Other_TGS	no
32	5650	Other_TGS	no
27	5650.000 	HiFi	no
30	5690	Other_TGS	pan-genome
24	5700	HiFi	no
21	5700	Other_TGS	no
31	5720	Other_TGS	no
33	5740	Other_TGS	no
30	5780	Other_TGS	pan-genome
6	5823.298	HiFi	no
21	5910	HiFi	pan-genome
32	5920	Other_TGS	no
32	5925	Other_TGS	no
32	5925.378	No_info	no
48	5990	Other_TGS	no
48	6000	Other_TGS	pan-genome
24	6000	Other_TGS	no
31	6002.992	Other_TGS	no
10	6010	Other_TGS	no
48	6025.827	Other_TGS	pan-genome
30	6040	Other_TGS	pan-genome
48	6101.665	HiFi	pan-genome
32	6160	Other_TGS	pan-genome
18	6175.963	HiFi	no
48	6196.576	Other_TGS	pan-genome
44	6198	Other_TGS	no
33	6200	Other_TGS	no
32	6200	Other_TGS	no
29	6236	Other_TGS	no
48	6248.227	HiFi	pan-genome
6	6250	HiFi	no
48	6254.9	Other_TGS	pan-genome
6	6260	Other_TGS	no
21	6270	HiFi	pan-genome
21	6280	HiFi	pan-genome
22	6300	Other_TGS	no
6	6300	HiFi	no
32	6340	Other_TGS	no
10	6340	Other_TGS	no
30	6343	Other_TGS	no
29	6360	Other_TGS	no
48	6360.946	Other_TGS	pan-genome
18	6400	Other_TGS	no
10	6400	HiFi	no
12	6400.528	Other_TGS	no
48	6410.149	Other_TGS	pan-genome
33	6410.956	Other_TGS	no
48	6443.545	HiFi	pan-genome
48	6472.52	Other_TGS	pan-genome
46	6490	Other_TGS	no
29	6490	Other_TGS	no
48	6500	Other_TGS	pan-genome
21	6520	Other_TGS	pan-genome
31	6538	Other_TGS	no
48	6555	Other_TGS	no
21	6556	Other_TGS	no
9	6570	Other_TGS	no
30	6596.157	Other_TGS	no
22	6600	Other_TGS	no
83	6604.031	Other_TGS	no
22	6614	Other_TGS	no
21	6630	Other_TGS	pan-genome
48	6634.618	Other_TGS	pan-genome
10	6634.695	HiFi	pan-genome
48	6705.922	Other_TGS	pan-genome
21	6720	HiFi	pan-genome
10	6740	HiFi	no
30	6750	Other_TGS	pan-genome
33	6783.948	Other_TGS	no
21	6799	Other_TGS	no
32	6800	Other_TGS	pan-genome
48	6830	Other_TGS	no
31	6854	HiFi	no
31	6866.8	Other_TGS	no
31	6866.8	Other_TGS	no
48	6875.398	Other_TGS	pan-genome
30	6880	Other_TGS	pan-genome
6	6880	Other_TGS	no
21	6940	HiFi	pan-genome
